case_id,desirable_votes,choice_consensus_strength,anthropic_choice,anthropic_intervention,anthropic_evidence_desirability,anthropic_confidence,gemini_choice,gemini_intervention,gemini_evidence_desirability,gemini_confidence,grok_choice,grok_intervention,grok_evidence_desirability,grok_confidence,openai_choice,openai_intervention,openai_evidence_desirability,openai_confidence
shadow-review-011-2072416075711475779,0,2,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,A_better,no_reply_preferable,not_desirable,high
shadow-review-012-2073937957896012049,0,2,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
shadow-review-013-2072348373181452376,0,2,no_historical_evidence,humour_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
shadow-review-014-2073778200711192847,0,2,no_historical_evidence,no_reply_preferable,not_desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,medium,A_better,no_reply_preferable,not_desirable,medium
shadow-review-015-2077261276850610377,0,2,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
shadow-review-016-2072677725626597643,0,3,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high
shadow-review-017-2077391717389467952,4,3,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,high,B_better,researched_principle,desirable,medium
shadow-review-018-2075932830983483670,1,2,roughly_equal,humour_preferable,unclear,medium,insufficient_context,no_reply_preferable,unclear,high,roughly_equal,researched_principle,desirable,medium,insufficient_context,no_reply_preferable,unclear,high
shadow-review-019-2076817230201852209,0,3,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,A_better,humour_preferable,not_desirable,high
shadow-review-020-2072596996494385570,4,3,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,high,B_better,researched_principle,desirable,medium
shadow-review-021-2077079178847891937,1,2,no_historical_evidence,no_reply_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,medium,insufficient_context,no_reply_preferable,unclear,high
shadow-review-022-2072372822609912129,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-023-2075661706290733251,0,3,no_historical_evidence,humour_preferable,not_desirable,medium,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-024-2072042353121222832,4,4,A_better,researched_principle,desirable,medium,A_better,researched_principle,desirable,medium,A_better,researched_principle,desirable,high,A_better,researched_principle,desirable,high
shadow-review-025-2071906899256050015,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-026-2073017105578967158,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-027-2076536022096380098,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-028-2073819291862835380,0,4,no_historical_evidence,humour_preferable,not_desirable,medium,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-029-2071942401271226685,0,4,no_historical_evidence,humour_preferable,not_desirable,medium,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-030-2077128719504707904,4,3,B_better,researched_principle,desirable,medium,roughly_equal,historical_context,desirable,high,B_better,researched_principle,desirable,high,B_better,historical_context,desirable,high
shadow-review-031-2077373693160784280,1,2,neither_useful,no_reply_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,B_better,researched_principle,desirable,medium,neither_useful,no_reply_preferable,not_desirable,high
shadow-review-032-2072851828882956321,4,4,B_better,historical_context,desirable,high,B_better,researched_principle,desirable,high,B_better,historical_context,desirable,high,B_better,historical_context,desirable,high
shadow-review-033-2071943179494985853,1,1,no_historical_evidence,humour_preferable,unclear,medium,roughly_equal,historical_correction,unclear,high,neither_useful,no_reply_preferable,not_desirable,high,insufficient_context,historical_correction,desirable,high
shadow-review-034-2076139325687771232,4,4,roughly_equal,historical_context,desirable,high,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,high,roughly_equal,historical_context,desirable,high
shadow-review-035-2072383576255959126,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,A_better,no_reply_preferable,not_desirable,high
shadow-review-036-2077156577958613207,2,2,roughly_equal,historical_context,unclear,medium,roughly_equal,historical_context,desirable,high,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,historical_context,desirable,high
shadow-review-037-2075481893659611489,1,2,no_historical_evidence,humour_preferable,not_desirable,medium,B_better,historical_context,desirable,high,A_better,humour_preferable,not_desirable,high,A_better,no_reply_preferable,not_desirable,high
shadow-review-038-2072355951957475520,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-039-2073935667520770507,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-040-2071778569098056048,3,3,roughly_equal,historical_context,desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,researched_principle,desirable,medium,neither_useful,historical_context,desirable,high
shadow-review-041-2076282467204395249,4,3,roughly_equal,historical_context,desirable,high,roughly_equal,historical_context,desirable,high,roughly_equal,researched_principle,desirable,high,A_better,historical_context,desirable,medium
shadow-review-042-2073833766905171987,1,2,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,historical_correction,desirable,high
shadow-review-043-2076338296053989604,0,2,roughly_equal,historical_context,unclear,low,neither_useful,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,unclear,medium,no_historical_evidence,no_reply_preferable,not_desirable,medium
shadow-review-044-1925397645738012799,0,3,no_historical_evidence,humour_preferable,not_desirable,high,neither_useful,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-045-2075708197575217660,0,3,no_historical_evidence,no_reply_preferable,not_desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-046-2075729332878692788,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-047-2071867739409695037,3,3,roughly_equal,historical_context,unclear,low,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,B_better,researched_principle,desirable,medium
shadow-review-048-2075254629089050837,0,2,neither_useful,humour_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,neither_useful,historical_context,unclear,high
shadow-review-049-2073583100819587388,3,2,B_better,historical_context,desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,historical_context,desirable,medium,B_better,researched_principle,desirable,medium
shadow-review-050-2071877957899993561,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-051-2071824597884764388,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-052-2076991235798040616,4,3,B_better,researched_principle,desirable,medium,B_better,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,B_better,researched_principle,desirable,medium
shadow-review-053-2075445315700691374,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-054-2073826588899061883,0,2,no_historical_evidence,humour_preferable,not_desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,medium,insufficient_context,no_reply_preferable,unclear,high
shadow-review-055-2073335888994611372,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-056-2072988990756811241,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-057-2075209997462433858,0,3,no_historical_evidence,no_reply_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,medium
shadow-review-058-2072363358611730652,0,2,B_better,humour_preferable,not_desirable,medium,no_historical_evidence,humour_preferable,not_desirable,high,neither_useful,humour_preferable,not_desirable,medium,B_better,no_reply_preferable,not_desirable,high
shadow-review-059-2077361037599277246,0,2,B_better,no_reply_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,B_better,no_reply_preferable,not_desirable,high
shadow-review-060-2076995783354982779,4,3,B_better,historical_context,desirable,medium,B_better,historical_context,desirable,medium,roughly_equal,researched_principle,desirable,high,B_better,historical_context,desirable,high
shadow-review-061-2076770300306301133,0,3,no_historical_evidence,humour_preferable,not_desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,medium
shadow-review-062-2073062359728591054,0,3,roughly_equal,humour_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-063-2075722731731976345,1,2,roughly_equal,historical_context,desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-064-2074913676675731762,1,2,roughly_equal,historical_context,desirable,medium,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-065-2073002002343174253,2,3,roughly_equal,historical_context,desirable,medium,roughly_equal,researched_principle,desirable,high,roughly_equal,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-066-2076546794746413390,0,2,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,high
shadow-review-067-2077367799458967991,0,2,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
shadow-review-068-2076961554881192216,1,2,A_better,historical_context,unclear,low,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,medium,A_better,researched_principle,desirable,medium
shadow-review-069-2071636422910505207,0,2,roughly_equal,historical_context,unclear,medium,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,humour_preferable,not_desirable,high,roughly_equal,humour_preferable,not_desirable,medium
shadow-review-070-2074012382213677523,2,2,B_better,historical_context,desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,B_better,researched_principle,desirable,high,A_better,no_reply_preferable,unclear,high
shadow-review-071-2072369767134937465,0,3,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,A_better,no_reply_preferable,not_desirable,high
shadow-review-072-2071750385182621727,3,3,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,high,neither_useful,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,high
shadow-review-073-2073630276475838785,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-074-2073616113594765661,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-075-2073112811622846819,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-076-2071803465207042202,3,4,roughly_equal,historical_context,desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,high
shadow-review-077-2075196216871174347,0,3,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-078-2075969637611680229,0,2,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-079-2075983973532958822,0,2,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-080-2071754866477961644,2,2,no_historical_evidence,humour_preferable,not_desirable,medium,roughly_equal,no_reply_preferable,not_desirable,high,neither_useful,researched_principle,desirable,medium,neither_useful,researched_principle,desirable,medium
shadow-review-081-2075445268577759459,0,4,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-082-2072854398426927352,0,1,no_historical_evidence,humour_preferable,not_desirable,medium,roughly_equal,no_reply_preferable,not_desirable,high,neither_useful,humour_preferable,not_desirable,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-083-2071811510377066832,4,2,B_better,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,B_better,researched_principle,desirable,high
shadow-review-084-2071750563172061445,3,3,A_better,researched_principle,desirable,medium,A_better,researched_principle,desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,A_better,researched_principle,desirable,high
shadow-review-085-2076770032613310588,1,4,neither_useful,no_reply_preferable,not_desirable,medium,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,neither_useful,researched_principle,desirable,high
shadow-review-086-2075572727453208857,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-087-2075482138325942555,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-088-2077136984901050499,3,4,roughly_equal,researched_principle,desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,high,roughly_equal,researched_principle,desirable,high
shadow-review-089-2071746481263132842,0,3,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-090-2075882071621501249,1,3,roughly_equal,humour_preferable,unclear,medium,roughly_equal,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,medium,no_historical_evidence,humour_preferable,not_desirable,medium
shadow-review-091-2073622520780169243,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high
shadow-review-092-2071697717382762915,0,4,insufficient_context,no_reply_preferable,unclear,medium,insufficient_context,no_reply_preferable,unclear,high,insufficient_context,no_reply_preferable,unclear,high,insufficient_context,no_reply_preferable,unclear,high
shadow-review-093-2076961341865156984,4,3,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,medium,roughly_equal,researched_principle,desirable,high,A_better,researched_principle,desirable,high
shadow-review-094-2071850983345279315,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-095-2072959347898958333,0,4,no_historical_evidence,humour_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high
shadow-review-096-2076285591075901750,0,2,no_historical_evidence,no_reply_preferable,not_desirable,medium,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
shadow-review-097-2072443568828956991,3,4,roughly_equal,historical_context,desirable,high,roughly_equal,no_reply_preferable,not_desirable,high,roughly_equal,researched_principle,desirable,high,roughly_equal,historical_context,desirable,high
shadow-review-098-2071705969256546707,1,2,B_better,historical_context,desirable,medium,B_better,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,medium,A_better,no_reply_preferable,not_desirable,high
shadow-review-099-2072172601724567987,0,2,no_historical_evidence,no_reply_preferable,not_desirable,high,neither_useful,no_reply_preferable,not_desirable,high,no_historical_evidence,no_reply_preferable,not_desirable,high,A_better,no_reply_preferable,not_desirable,high
shadow-review-100-2073425817179496527,0,2,no_historical_evidence,humour_preferable,not_desirable,medium,roughly_equal,no_reply_preferable,not_desirable,high,no_historical_evidence,humour_preferable,not_desirable,high,roughly_equal,no_reply_preferable,not_desirable,high
