case_id,consequence_alignment_score_shift,decision_change,directness_score_shift,editorial_power_score_shift,mechanism_alignment_score_shift,missing,model_changed,new_decision,new_relationship,old_decision,old_relationship,overall_suitability_score_shift,principle_alignment_score_shift,provider,relevance_score_shift,specificity_score_shift,taxonomy_changed
b467ac8ccfc2f225aad3,-4,keep_to_keep,-13,-2,-20,False,False,keep,illustrates_claimed_consequence,keep,illustrates_claimed_consequence,-12,-8,grok,-4,-13,False
b7cd43663a96e63b5b69,0,replace_to_replace,4,33,10,False,False,replace,contradictory,replace,contradictory,10,10,grok,10,20,False
b98adf9e78161b670ad5,0,replace_to_replace,0,14,-33,False,False,replace,illustrates_claimed_consequence,replace,illustrates_claimed_consequence,6,-7,grok,0,0,False
bb9f364836998e185eec,-4,replace_to_replace,-6,-2,-17,False,False,replace,secondary_theme_match,replace,secondary_theme_match,-10,-3,grok,-6,-7,False
bdd510a8157a6fb7ec70,2,replace_to_replace,-3,0,8,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,5,grok,-7,-10,False
cd34f0ecdf6711ec4b2d,-10,replace_to_replace,0,20,-10,False,False,replace,related_ideological_substitution,replace,unrelated,-3,0,grok,0,-2,True
d95fd04248974978c79e,-2,replace_to_replace,-3,0,-2,False,False,replace,unrelated,replace,unrelated,-7,-23,grok,-10,-5,False
db9adeebf2c41956d290,0,replace_to_replace,0,3,0,False,False,replace,unrelated,replace,unrelated,0,-3,grok,0,0,False
e05e08ebeb6230dec78c,-14,keep_to_replace,-7,-2,7,False,False,replace,illustrates_mechanism,keep,illustrates_claimed_consequence,-8,-5,grok,-6,10,True
e233a9d10b3eea4cbd37,10,replace_to_replace,0,-12,3,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,5,grok,7,-3,False
e64eaa98b9e825be7e66,0,replace_to_replace,0,-27,13,False,False,replace,illustrates_broader_principle,replace,illustrates_broader_principle,-5,-6,grok,-4,7,False
f0ededbfbe6886c49db8,0,replace_to_replace,0,-5,0,False,False,replace,contradictory,replace,contradictory,-6,0,grok,-14,7,False
0117c8919c5fdb98d8ff,2,replace_to_replace,6,10,6,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,5,12,openai,7,8,False
15d14fb68d063c94ab76,0,replace_to_replace,0,10,2,False,False,replace,related_ideological_substitution,replace,unrelated,8,9,openai,4,0,True
34804ca152e0e279c7ff,-8,keep_to_replace,-10,-4,-3,False,False,replace,related_ideological_substitution,keep,illustrates_claimed_consequence,-11,-7,openai,-2,-10,True
45aff3c1240a3010165b,0,replace_to_replace,0,7,0,False,False,replace,unrelated,replace,unrelated,0,-1,openai,0,-1,False
55f5cd6d633c143f5170,4,replace_to_replace,7,4,5,False,False,replace,illustrates_claimed_consequence,replace,illustrates_claimed_consequence,9,3,openai,10,14,False
588a0074decf861a546b,-2,replace_to_replace,4,-2,4,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,4,5,openai,-2,8,False
5adcb6f1fbaad21d5ae0,-10,unsure_to_keep,2,0,-1,False,False,keep,illustrates_broader_principle,unsure,related_ideological_substitution,1,4,openai,2,-1,True
68c044ce4d015237c2fe,0,replace_to_replace,-2,-5,1,False,False,replace,illustrates_mechanism,replace,illustrates_mechanism,1,4,openai,3,0,False
6eb60852343c65542ab6,1,replace_to_replace,5,3,14,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,1,-9,openai,7,6,False
70f14e2e72a292a3ae05,4,keep_to_keep,-6,-9,-5,False,False,keep,illustrates_mechanism,keep,illustrates_mechanism,-7,0,openai,-3,-2,False
9729da4b58d3d56e5c05,1,replace_to_replace,4,-5,1,False,False,replace,secondary_theme_match,replace,secondary_theme_match,5,6,openai,6,4,False
a53c2ebadd2dde95cd5f,2,replace_to_replace,3,2,0,False,False,replace,secondary_theme_match,replace,related_ideological_substitution,3,4,openai,4,0,True
ad5a52dcf9f0f123e8ee,1,replace_to_replace,0,-9,1,False,False,replace,unrelated,replace,secondary_theme_match,-6,5,openai,-6,-3,True
b467ac8ccfc2f225aad3,0,keep_to_replace,4,2,2,False,False,replace,illustrates_claimed_consequence,keep,illustrates_claimed_consequence,-8,7,openai,4,-2,False
b7cd43663a96e63b5b69,2,replace_to_replace,-4,-2,-4,False,False,replace,illustrates_claimed_consequence,replace,illustrates_claimed_consequence,-1,-1,openai,-3,-3,False
b98adf9e78161b670ad5,-4,replace_to_unsure,-12,5,-7,False,False,unsure,illustrates_claimed_consequence,replace,illustrates_claimed_consequence,3,-5,openai,-6,-6,False
bb9f364836998e185eec,0,replace_to_keep,7,3,9,False,False,keep,illustrates_mechanism,replace,illustrates_mechanism,10,-16,openai,3,13,False
bdd510a8157a6fb7ec70,0,replace_to_replace,4,2,6,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,5,-5,openai,4,-2,False
cd34f0ecdf6711ec4b2d,0,replace_to_replace,2,5,6,False,False,replace,related_ideological_substitution,replace,secondary_theme_match,-5,-16,openai,-3,0,True
d95fd04248974978c79e,4,replace_to_replace,2,-14,-5,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,3,5,openai,-2,4,False
db9adeebf2c41956d290,4,replace_to_replace,0,0,12,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,4,5,openai,3,-2,False
e05e08ebeb6230dec78c,0,keep_to_keep,-4,-2,-2,False,False,keep,illustrates_mechanism,keep,illustrates_mechanism,-2,-4,openai,-2,-11,False
e233a9d10b3eea4cbd37,-8,replace_to_replace,0,0,-1,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-3,10,openai,0,-5,False
e64eaa98b9e825be7e66,-4,replace_to_replace,-6,4,-8,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-3,-2,openai,0,-4,False
f0ededbfbe6886c49db8,-12,replace_to_replace,-4,-2,-5,False,False,replace,secondary_theme_match,replace,secondary_theme_match,-3,-4,openai,1,-2,False
0117c8919c5fdb98d8ff,0,replace_to_replace,0,-10,0,False,False,replace,contradictory,replace,contradictory,-2,0,anthropic,0,-2,False
15d14fb68d063c94ab76,-8,replace_to_replace,0,-5,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,-5,anthropic,0,0,False
34804ca152e0e279c7ff,-5,unsure_to_unsure,5,0,-5,False,False,unsure,illustrates_claimed_consequence,unsure,illustrates_claimed_consequence,0,0,anthropic,0,5,False
45aff3c1240a3010165b,-3,replace_to_replace,-2,-5,-2,False,False,replace,unrelated,replace,unrelated,-1,-2,anthropic,-1,-2,False
55f5cd6d633c143f5170,3,replace_to_replace,3,0,2,False,False,replace,illustrates_broader_principle,replace,illustrates_broader_principle,0,2,anthropic,0,-5,False
588a0074decf861a546b,0,replace_to_replace,0,-15,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-2,-2,anthropic,0,0,False
5adcb6f1fbaad21d5ae0,0,replace_to_replace,0,0,0,False,False,replace,illustrates_broader_principle,replace,illustrates_broader_principle,2,-2,anthropic,0,0,False
68c044ce4d015237c2fe,0,replace_to_replace,0,0,-10,False,False,replace,secondary_theme_match,replace,secondary_theme_match,0,10,anthropic,3,0,False
6eb60852343c65542ab6,0,replace_to_replace,0,5,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,-2,anthropic,0,0,False
70f14e2e72a292a3ae05,0,unsure_to_unsure,-10,-5,-5,False,False,unsure,illustrates_broader_principle,unsure,illustrates_broader_principle,-4,-2,anthropic,-6,-5,False
9729da4b58d3d56e5c05,0,replace_to_replace,0,0,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,0,anthropic,0,0,False
a53c2ebadd2dde95cd5f,0,replace_to_replace,2,0,-2,False,False,replace,secondary_theme_match,replace,secondary_theme_match,2,0,anthropic,0,0,False
ad5a52dcf9f0f123e8ee,0,replace_to_replace,5,10,5,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,6,5,anthropic,0,5,False
b467ac8ccfc2f225aad3,0,unsure_to_unsure,0,0,0,False,False,unsure,illustrates_claimed_consequence,unsure,illustrates_claimed_consequence,-2,0,anthropic,0,0,False
b7cd43663a96e63b5b69,0,replace_to_replace,0,0,0,False,False,replace,contradictory,replace,contradictory,-2,8,anthropic,0,-15,False
b98adf9e78161b670ad5,-5,replace_to_replace,-5,-5,-20,False,False,replace,illustrates_broader_principle,replace,illustrates_mechanism,-5,0,anthropic,0,-15,True
bb9f364836998e185eec,5,unsure_to_unsure,0,0,10,False,False,unsure,illustrates_broader_principle,unsure,illustrates_broader_principle,-3,-2,anthropic,-6,5,False
bdd510a8157a6fb7ec70,-5,replace_to_replace,-2,0,-5,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-2,-5,anthropic,-3,-5,False
cd34f0ecdf6711ec4b2d,0,replace_to_replace,0,0,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,0,anthropic,0,0,False
d95fd04248974978c79e,-5,replace_to_replace,0,-15,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-2,-5,anthropic,-3,2,False
db9adeebf2c41956d290,-5,replace_to_replace,-2,0,-5,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,-3,-2,anthropic,0,-20,False
e05e08ebeb6230dec78c,20,keep_to_keep,0,0,-2,False,False,keep,illustrates_claimed_consequence,keep,illustrates_broader_principle,2,-5,anthropic,0,2,True
e233a9d10b3eea4cbd37,0,replace_to_replace,0,10,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,0,5,anthropic,0,-2,False
e64eaa98b9e825be7e66,0,replace_to_replace,-10,10,0,False,False,replace,related_ideological_substitution,replace,illustrates_broader_principle,-7,-15,anthropic,-10,0,True
f0ededbfbe6886c49db8,0,replace_to_replace,0,5,0,False,False,replace,contradictory,replace,contradictory,2,0,anthropic,0,0,False
0117c8919c5fdb98d8ff,-10,replace_to_replace,0,-35,-5,False,False,replace,contradictory,replace,contradictory,-5,0,gemini,-5,5,False
15d14fb68d063c94ab76,0,replace_to_replace,0,0,0,False,False,replace,unrelated,replace,unrelated,0,5,gemini,0,0,False
34804ca152e0e279c7ff,0,keep_to_keep,0,5,0,False,False,keep,illustrates_claimed_consequence,keep,illustrates_claimed_consequence,5,0,gemini,0,-5,False
45aff3c1240a3010165b,0,replace_to_replace,0,0,0,False,False,replace,unrelated,replace,unrelated,0,0,gemini,0,0,False
55f5cd6d633c143f5170,20,replace_to_keep,20,15,20,False,False,keep,illustrates_broader_principle,replace,illustrates_broader_principle,23,10,gemini,15,15,False
588a0074decf861a546b,10,replace_to_replace,-10,5,-10,False,False,replace,secondary_theme_match,replace,related_ideological_substitution,-10,5,gemini,-10,-10,True
5adcb6f1fbaad21d5ae0,-5,keep_to_keep,0,-5,0,False,False,keep,illustrates_broader_principle,keep,related_ideological_substitution,0,0,gemini,0,-10,True
68c044ce4d015237c2fe,20,replace_to_replace,15,5,0,False,False,replace,illustrates_broader_principle,replace,illustrates_broader_principle,5,5,gemini,0,10,False
6eb60852343c65542ab6,-15,replace_to_keep,15,0,15,False,False,keep,related_ideological_substitution,replace,related_ideological_substitution,15,30,gemini,15,20,False
70f14e2e72a292a3ae05,0,keep_to_keep,15,5,15,False,False,keep,direct_illustration,keep,illustrates_broader_principle,3,5,gemini,5,25,True
9729da4b58d3d56e5c05,0,replace_to_replace,0,-15,10,False,False,replace,secondary_theme_match,replace,secondary_theme_match,0,5,gemini,5,-10,False
a53c2ebadd2dde95cd5f,0,replace_to_replace,-5,-5,0,False,False,replace,unrelated,replace,unrelated,-5,-15,gemini,-5,-5,False
ad5a52dcf9f0f123e8ee,0,replace_to_replace,5,20,0,False,False,replace,ambiguous,replace,secondary_theme_match,5,0,gemini,0,-5,True
b467ac8ccfc2f225aad3,0,keep_to_keep,-5,-5,10,False,False,keep,illustrates_claimed_consequence,keep,illustrates_claimed_consequence,-8,-5,gemini,0,0,False
b7cd43663a96e63b5b69,-10,replace_to_replace,-10,-35,-10,False,False,replace,contradictory,replace,contradictory,-25,-10,gemini,-30,-10,False
b98adf9e78161b670ad5,-5,keep_to_keep,0,5,20,False,False,keep,illustrates_broader_principle,keep,illustrates_broader_principle,5,0,gemini,0,10,False
bb9f364836998e185eec,-20,replace_to_replace,0,-10,0,False,False,replace,secondary_theme_match,replace,illustrates_broader_principle,-20,-20,gemini,-10,-5,True
bdd510a8157a6fb7ec70,-10,keep_to_replace,-15,-70,-10,False,False,replace,contradictory,keep,contradictory,-70,-20,gemini,-50,-30,False
cd34f0ecdf6711ec4b2d,-10,replace_to_replace,-5,-15,-5,False,False,replace,unrelated,replace,contradictory,-10,-10,gemini,0,-5,True
d95fd04248974978c79e,0,replace_to_replace,10,0,0,False,False,replace,secondary_theme_match,replace,secondary_theme_match,5,0,gemini,5,10,False
db9adeebf2c41956d290,0,replace_to_replace,0,0,0,False,False,replace,unrelated,replace,unrelated,0,0,gemini,0,0,False
e05e08ebeb6230dec78c,-5,keep_to_keep,0,0,10,False,False,keep,illustrates_mechanism,keep,direct_illustration,0,0,gemini,0,0,True
e233a9d10b3eea4cbd37,10,replace_to_replace,0,-5,0,False,False,replace,related_ideological_substitution,replace,related_ideological_substitution,5,0,gemini,0,-10,False
e64eaa98b9e825be7e66,15,keep_to_keep,0,0,0,False,False,keep,illustrates_broader_principle,keep,illustrates_broader_principle,0,5,gemini,0,-25,False
f0ededbfbe6886c49db8,0,replace_to_replace,5,-10,0,False,False,replace,contradictory,replace,contradictory,-5,0,gemini,0,10,False
